"Message ID";"Date";"Author";"Type";"Run";"DAQ Name";"Good";"Problem Type";"Beam";"Energy";"Particles";"Attenuator upstream";"Attenuator downstream";"Source";"Gaz";"Scintillator";"Dif_Scintillator";"Tcherenkov";"Dif_Tcherenkov";"Position Bati X";"Position Bati Y";"Position Bati Z";"Number Dif";"Dif_Id1";"Position1 Z";"Type1";"HV1";"Gas Channel1";"HV Channel1";"Dif_Id2";"Position2 Z";"Type2";"HV2";"Gas Channel2";"HV Channel2";"Dif_Id3";"Position3 Z";"Type3";"HV3";"Gas Channel3";"HV Channel3";"Dif_Id4";"Position4 Z";"Type4";"HV4";"Gas Channel4";"HV Channel4";"Dif_Id5";"Position5 Z";"Type5";"HV5";"Gas Channel5";"HV Channel5";"Dif_Id6";"Position6 Z";"Type6";"HV6";"Gas Channel6";"HV Channel6";"Dif_Id7";"Position7 Z";"Type7";"HV7";"Gas Channel7";"HV Channel7";"Dif_Id8";"Position8 Z";"Type8";"HV8";"Gas Channel8";"HV Channel8";"Dif_Id9";"Position9 Z";"Type9";"HV9";"Gas Channel9";"HV Channel9"
98;Thu  06 Oct 2016 14:23:33 +0200;"DAQ";"Data";"733596";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;"Muons";"113";"333";"ON";"CMS";"None";;"No";;;;;"Eight";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"7000";;;"216";"180";"Unknown";"7000";;;"28";"200";"Unknown";"7000";;;"29";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
99;Thu  06 Oct 2016 15:16:46 +0200;"DAQ";"Data";"733597";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;"Muons";;;"OFF";"CMS";"Not Set";;"No";;;;;"Eight";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;"Plastic";"9000";;;;;;;;
100;Thu  06 Oct 2016 15:23:11 +0200;"DAQ";"Data";"733599";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
101;Thu  06 Oct 2016 15:41:35 +0200;"DAQ";"Data";"733600";"GIFPP_OYONAX_12";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Not Set";;"No";;;;;"Six";"16";"150";"Unknown";"7000";;;"32";"160";"Unknown";"Not Set";;;"216";"180";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"29";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
102;Thu  06 Oct 2016 19:07:20 +0200;"DAQ";"Data";"733614";"GIFPP_STRIP_8";"Not Set";;"ON";"150GeV";"Muons";"112";"213";"ON";"CMS";"Both";"3";"No";;;;;"Six";"16";"150";"Unknown";"7000";;"7000";"32";"160";"Unknown";"Not Set";;"7000";"216";"180";"Unknown";"Not Set";;"7000";"28";"200";"Unknown";"Not Set";;"7000";"29";"200";"Unknown";"Not Set";;"7000";;;;;;"9500";;;;;;;;;;;;;;;;;;
103;Thu  06 Oct 2016 19:20:35 +0200;"DAQ";"Data";"733616";"GIFPP_STRIP_8";"Not Set";;"ON";"150GeV";"Muons";"213";"213";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"7000";;;"6";"180";"Unknown";"7000";;;"23";"200";"Unknown";"7000";;;"26";"200";"Unknown";"7000";;;"28";"200";"Unknown";"7000";;;;;;"7000";;;;;;"9500";;;;;;"9500";;;;;;;;
104;Thu  06 Oct 2016 19:42:34 +0200;"DAQ";"Data";"733617";"GIFPP_STRIP_9";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"Not Set";;;"6";"180";"Unknown";"Not Set";;;"23";"200";"Unknown";"Not Set";;;"26";"200";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;"32";"200";"Unknown";"Not Set";;;"125";"200";"Unknown";"Not Set";;;"142";"200";"Unknown";"Not Set";;;;;;;;
105;Thu  06 Oct 2016 22:46:18 +0200;"DAQ";"Data";"733618";"GIFPP_STRIP_9";"Not Set";;"ON";"150GeV";"Muons";"211";"212";"ON";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"7000";;;"6";"180";"Unknown";"7000";;;"23";"200";"Unknown";"7000";;;"26";"200";"Unknown";"7000";;;"28";"200";"Unknown";"7000";;;"32";"200";"Unknown";"7000";;;"125";"200";"Unknown";"9500";;;"142";"200";"Unknown";"9500";;;;;;;;
106;Thu  06 Oct 2016 23:38:51 +0200;"Maxime Gouzevitch";"Comments";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Fri  07 Oct 2016 12:37:48 +0200;"DAQ";"Data";"733635";"GIFPP_STRIP_9";"Not Set";;"Not Set";;;;;"Not Set";"CMS";"Ours";"3";"No";;;;;"Eight";"2";"150";"Unknown";"Not Set";;;"6";"180";"Unknown";"Not Set";;;"23";"200";"Unknown";"Not Set";;;"26";"200";"Unknown";"Not Set";;;"28";"200";"Unknown";"Not Set";;;;;;;;;;;;;;;;;;;;;;;;;;
